都市名,売りor買い,商品名,値段,傾向,倍率,販売個数,特産品,更新時間
アニタロケット,買い,ロケットのおもちゃ,640,1,1.14,55,通常品,2024-12-12 23:06:38
アニタロケット,買い,高熱伝導セラミックス,1533,-1,0.94,13,通常品,2024-12-12 23:06:38
アニタロケット,買い,液体酸素メタン燃料,833,1,0.99,21,通常品,2024-12-12 23:06:38
アニタロケット,買い,ブラシナシ電機,763,-1,1.03,34,通常品,2024-12-12 23:06:38
アニタロケット,買い,ニッケル高温合金,1393,1,0.98,13,通常品,2024-12-12 23:06:38
アニタロケット,買い,ハニカム構造断熱材料,3068,-1,0.82,8,特産品,2024-12-12 23:06:38
アニタロケット,売り,棉花枕头,1089,-1,1.0,1,通常品,2024-12-12 23:06:38
アニタロケット,売り,棉花,1078,-1,0.85,23,特産品,2024-12-12 23:06:38
アニタロケット,売り,漆黒鉱滓,805,-1,1.0,37,通常品,2024-12-12 23:06:38
アニタロケット,売り,メノウ,2313,1,0.97,17,特産品,2024-12-12 23:06:38
アニタロケット,売り,纯金线材,7246,1,0.85,1,特産品,2024-12-12 23:06:38
アニタロケット,売り,珪砂,309,-1,0.89,47,通常品,2024-12-12 23:06:38
アニタロケット,売り,キャビア,4620,1,1.01,6,特産品,2024-12-12 23:06:38
アニタロケット,売り,金箔,4902,-1,1.13,1,特産品,2024-12-12 23:06:38
アニタロケット,売り,火澄石,7459,-1,0.96,2,特産品,2024-12-12 23:06:38
アニタロケット,売り,水产甄选礼盒,7660,1,1.11,1,特産品,2024-12-12 23:06:38
アニタロケット,売り,ブランデー,983,-1,1.05,24,通常品,2024-12-12 23:06:38
アニタロケット,売り,アニタ202軍用ドローン,3395,-1,0.89,7,特産品,2024-12-12 23:06:38
アニタロケット,売り,カセットテープ,319,1,1.11,50,通常品,2024-12-12 23:06:38
アニタロケット,売り,花呢上衣,2295,1,1.0,10,特産品,2024-12-12 23:06:38
アニタロケット,売り,金制列车工艺品,7532,-1,0.87,1,通常品,2024-12-12 23:06:38
アニタロケット,売り,纯棉T恤,540,1,1.02,35,通常品,2024-12-12 23:06:38
アニタロケット,売り,不織布,589,-1,0.98,30,通常品,2024-12-12 23:06:38
アニタロケット,売り,ガソリン,785,1,1.11,27,通常品,2024-12-12 23:06:38
アニタロケット,売り,銃弾,721,1,0.88,20,通常品,2024-12-12 23:06:38
アニタロケット,売り,納豆,307,-1,1.11,45,通常品,2024-12-12 23:06:38
アニタロケット,売り,砲弾,1862,-1,0.9,15,通常品,2024-12-12 23:06:38
アニタロケット,売り,方便食品（军用）,124,1,1.06,72,特産品,2024-12-12 23:06:38
アニタロケット,売り,プラスチック爆薬,959,1,0.92,20,通常品,2024-12-12 23:06:38
アニタロケット,売り,ステンレス鋼,1849,1,1.03,17,特産品,2024-12-12 23:06:38
アニタロケット,売り,レゾナンスパワー爆弾,3765,-1,0.83,4,特産品,2024-12-12 23:06:38
アニタロケット,売り,防弾ベスト,4304,1,1.2,10,特産品,2024-12-12 23:06:38
アニタロケット,買い,ブラシナシ電機,382,-1,0.52,34,通常品,2024-12-12 23:06:38
アニタロケット,売り,修格里严选礼包,2046,-1,0.86,1,特産品,2024-12-12 23:06:38
アニタロケット,売り,学会纪念品,2583,-1,1.05,12,特産品,2024-12-12 23:06:38
アニタロケット,売り,弾丸加速装置,2964,-1,1.16,18,特産品,2024-12-12 23:06:38
アニタロケット,売り,列車モデル,361,1,0.94,40,通常品,2024-12-12 23:06:38
アニタロケット,買い,ロケットのおもちゃ,320,1,0.57,55,通常品,2024-12-12 23:06:38
アニタロケット,売り,海角水产礼盒,4304,-1,0.95,1,特産品,2024-12-12 23:06:38
アニタロケット,売り,西大陆甄选礼盒,7591,-1,0.95,1,特産品,2024-12-12 23:06:38
アニタロケット,売り,洗剤セット,203,1,1.07,54,通常品,2024-12-12 23:06:38
アニタロケット,売り,金枪鱼,2433,-1,1.02,1,特産品,2024-12-12 23:06:38
アニタロケット,売り,翻车魨,4364,1,0.87,1,特産品,2024-12-12 23:06:38
アニタロケット,売り,宇航服,13900,1,1.2,1,特産品,2024-12-12 23:06:38
アニタロケット,売り,ワードチキン,577,1,0.94,39,特産品,2024-12-12 23:06:38
アニタロケット,売り,ロブスター,1339,-1,1.03,24,特産品,2024-12-12 23:06:38
アニタロケット,売り,コハク,2741,1,0.92,13,特産品,2024-12-12 23:06:38
アニタロケット,売り,自動車パーツ,1037,-1,1.17,24,通常品,2024-12-12 23:06:38
アニタロケット,売り,紅茶,1351,1,1.3,30,特産品,2024-12-12 23:06:38
アニタロケット,売り,方鉛鉱,824,1,1.03,29,通常品,2024-12-12 23:06:38
アニタロケット,売り,ジャガイモ,83,1,0.92,53,通常品,2024-12-12 23:06:38
アニタロケット,売り,砂金,3649,-1,1.09,11,特産品,2024-12-12 23:06:38
アニタロケット,売り,エンジン,3867,-1,1.0,9,特産品,2024-12-12 23:06:38
アニタロケット,売り,鱼肝油,3395,1,1.03,8,特産品,2024-12-12 23:06:38
アニタロケット,売り,年货大礼包,3664,1,1.04,1,特産品,2024-12-12 23:06:38
アニタロケット,売り,银制列车工艺品,3902,-1,0.87,1,通常品,2024-12-12 23:06:38
アニタロケット,売り,花呢,1685,-1,0.93,1,特産品,2024-12-12 23:06:38
アニタロケット,売り,纯棉布料,767,-1,0.83,21,通常品,2024-12-12 23:06:38
アニタロケット,売り,牛仔裤,640,1,1.03,10,通常品,2024-12-12 23:06:38
アニタロケット,売り,蕾丝连衣裙,2638,-1,0.95,8,特産品,2024-12-12 23:06:38
アニタロケット,売り,蕾丝花边,2036,1,0.99,1,特産品,2024-12-12 23:06:38
アニタロケット,売り,灯芯绒休闲裤,2091,1,1.12,19,通常品,2024-12-12 23:06:38
アニタロケット,売り,冲锋衣,1255,-1,0.96,29,通常品,2024-12-12 23:06:38
アニタロケット,売り,灯芯绒,1518,-1,1.03,1,通常品,2024-12-12 23:06:38
アニタロケット,売り,缝纫工具包,1073,-1,1.11,32,特産品,2024-12-12 23:06:38
アニタロケット,売り,岚心锦服,7347,1,1.07,6,特産品,2024-12-12 23:06:38
アニタロケット,売り,黑毛牛排,4876,-1,1.06,9,特産品,2024-12-12 23:06:38
アニタロケット,売り,水银,975,-1,0.85,20,通常品,2024-12-12 23:06:38
アニタロケット,売り,马鲛鱼,351,1,1.01,40,通常品,2024-12-12 23:06:38
アニタロケット,売り,香薰蜡烛,1084,-1,1.02,24,特産品,2024-12-12 23:06:38
アニタロケット,売り,帝王蟹,1884,-1,1.09,16,特産品,2024-12-12 23:06:38
アニタロケット,売り,扇贝,254,1,0.97,1,通常品,2024-12-12 23:06:38
アニタロケット,売り,雪金锦袍,6500,-1,1.03,7,特産品,2024-12-12 23:06:38
アニタロケット,売り,贻贝,196,1,1.16,48,通常品,2024-12-12 23:06:38
アニタロケット,売り,竹荚鱼,609,1,1.19,1,通常品,2024-12-12 23:06:38
アニタロケット,売り,高級スキンケア,3298,1,0.93,9,特産品,2024-12-12 23:06:38
アニタロケット,売り,骨材,36,-1,0.93,72,通常品,2024-12-12 23:06:38
アニタロケット,売り,石材,227,-1,0.97,45,通常品,2024-12-12 23:06:38
アニタロケット,売り,グラファイト,437,1,0.94,37,通常品,2024-12-12 23:06:38
アニタロケット,売り,建築材料,564,1,1.01,30,通常品,2024-12-12 23:06:38
アニタロケット,売り,トルコ石,1638,1,1.03,19,特産品,2024-12-12 23:06:38
アニタロケット,売り,マラカイト,2393,-1,1.09,17,特産品,2024-12-12 23:06:38
アニタロケット,売り,青金石,2465,1,0.93,13,特産品,2024-12-12 23:06:38
アニタロケット,売り,水晶彫刻,780,-1,0.87,21,通常品,2024-12-12 23:06:38
アニタロケット,売り,图形加速卡,3841,1,0.94,12,特産品,2024-12-12 23:06:38
アニタロケット,売り,太空棉,2340,1,1.04,1,通常品,2024-12-12 23:06:38
アニタロケット,売り,缶詰,142,1,1.1,45,通常品,2024-12-12 23:06:38
アニタロケット,売り,绵羊,505,1,1.09,40,通常品,2024-12-12 23:06:38
アニタロケット,売り,牛仔布,397,-1,1.09,40,通常品,2024-12-12 23:06:38
アニタロケット,売り,绣线,417,1,0.86,40,通常品,2024-12-12 23:06:38
アニタロケット,売り,尼龙布,820,-1,1.1,36,通常品,2024-12-12 23:06:38
アニタロケット,売り,ワード山泉,71,-1,0.95,56,通常品,2024-12-12 23:06:38
アニタロケット,売り,鸭,169,1,1.1,52,通常品,2024-12-12 23:06:38
アニタロケット,売り,亚麻,1361,1,1.16,28,特産品,2024-12-12 23:06:38
