都市名,売りor買い,商品名,値段,傾向,倍率,販売個数,特産品,更新時間
アニタロケット,買い,ロケットのおもちゃ,656,-1,1.17,55,通常品,2024-12-16 00:19:55
アニタロケット,買い,高熱伝導セラミックス,1386,-1,0.85,13,通常品,2024-12-16 00:19:55
アニタロケット,買い,液体酸素メタン燃料,816,1,0.97,21,通常品,2024-12-16 00:19:55
アニタロケット,買い,ブラシナシ電機,771,1,1.04,34,通常品,2024-12-16 00:19:55
アニタロケット,買い,ニッケル高温合金,1265,-1,0.89,13,通常品,2024-12-16 00:19:55
アニタロケット,買い,ハニカム構造断熱材料,3629,-1,0.97,8,特産品,2024-12-16 00:19:55
アニタロケット,売り,漆黒鉱滓,877,-1,1.09,37,通常品,2024-12-16 00:19:55
アニタロケット,売り,メノウ,1908,-1,0.8,17,特産品,2024-12-16 00:19:55
アニタロケット,売り,珪砂,340,-1,0.98,47,通常品,2024-12-16 00:19:55
アニタロケット,売り,アニタ202軍用ドローン,4082,-1,1.07,7,特産品,2024-12-16 00:19:55
アニタロケット,売り,カセットテープ,238,1,0.83,50,通常品,2024-12-16 00:19:55
アニタロケット,売り,不織布,541,-1,0.9,30,通常品,2024-12-16 00:19:55
アニタロケット,売り,ガソリン,665,-1,0.94,27,通常品,2024-12-16 00:19:55
アニタロケット,売り,銃弾,696,-1,0.85,20,通常品,2024-12-16 00:19:55
アニタロケット,売り,プラスチック爆薬,1063,-1,1.02,20,通常品,2024-12-16 00:19:55
アニタロケット,売り,ステンレス鋼,1669,-1,0.93,17,特産品,2024-12-16 00:19:55
アニタロケット,売り,ブラシナシ電機,386,1,0.52,34,通常品,2024-12-16 00:19:55
アニタロケット,売り,ロケットのおもちゃ,328,-1,0.59,55,通常品,2024-12-16 00:19:55
アニタロケット,売り,ワードチキン,700,1,1.14,39,特産品,2024-12-16 00:19:55
アニタロケット,売り,自動車パーツ,824,1,0.93,24,通常品,2024-12-16 00:19:55
アニタロケット,売り,紅茶,1257,1,1.21,30,特産品,2024-12-16 00:19:55
アニタロケット,売り,方鉛鉱,792,-1,0.99,29,通常品,2024-12-16 00:19:55
アニタロケット,売り,ジャガイモ,87,-1,0.97,53,通常品,2024-12-16 00:19:55
アニタロケット,売り,砂金,3716,1,1.11,11,特産品,2024-12-16 00:19:55
アニタロケット,売り,弾丸加速装置,2376,-1,0.93,18,特産品,2024-12-16 00:19:55
アニタロケット,売り,骨材,38,1,0.98,72,通常品,2024-12-16 00:19:55
アニタロケット,売り,石材,229,1,0.98,45,通常品,2024-12-16 00:19:55
アニタロケット,売り,グラファイト,493,1,1.06,37,通常品,2024-12-16 00:19:55
アニタロケット,売り,建築材料,541,-1,0.97,30,通常品,2024-12-16 00:19:55
アニタロケット,売り,トルコ石,1542,-1,0.97,19,特産品,2024-12-16 00:19:55
アニタロケット,売り,青金石,2571,-1,0.97,13,特産品,2024-12-16 00:19:55
アニタロケット,売り,No.7 BEER,130,-1,1.0,56,通常品,2024-12-16 00:19:55
アニタロケット,売り,海塩,93,-1,0.94,70,通常品,2024-12-16 00:19:55
アニタロケット,売り,ウシエビ,774,-1,0.99,35,特産品,2024-12-16 00:19:55
アニタロケット,売り,ナッツ,268,1,1.16,42,通常品,2024-12-16 00:19:55
アニタロケット,売り,太陽電池,1306,-1,1.05,21,特産品,2024-12-16 00:19:55
アニタロケット,売り,ワード山泉,91,1,1.01,60,通常品,2024-12-16 00:19:55
アニタロケット,売り,ビデオテープ,584,-1,1.02,30,通常品,2024-12-16 00:19:55
アニタロケット,売り,二次電池,309,1,1.03,42,通常品,2024-12-16 00:19:55
アニタロケット,売り,宇宙記念品,956,1,1.14,28,通常品,2024-12-16 00:19:55
アニタロケット,売り,高熱伝導セラミックス,693,-1,0.43,13,通常品,2024-12-16 00:19:55
アニタロケット,売り,ゲームカートリッジ,1050,1,1.11,30,特産品,2024-12-16 00:19:55
アニタロケット,売り,スピーカー,1181,1,1.0,20,特産品,2024-12-16 00:19:55
アニタロケット,売り,ライトスティック,514,1,1.03,35,通常品,2024-12-16 00:19:55
アニタロケット,売り,家電,1134,-1,0.93,21,通常品,2024-12-16 00:19:55
アニタロケット,売り,自然銀,3048,-1,1.06,10,特産品,2024-12-16 00:19:55
アニタロケット,売り,鉄道用特殊鋼,1379,1,0.96,24,通常品,2024-12-16 00:19:55
アニタロケット,売り,カーマイン・メイミリメシ,229,1,1.01,47,通常品,2024-12-16 00:19:55
アニタロケット,売り,高級カトラリー,410,1,0.96,36,通常品,2024-12-16 00:19:55
アニタロケット,売り,列車モデル,419,1,1.09,40,通常品,2024-12-16 00:19:55
アニタロケット,売り,缶詰,133,-1,1.03,45,通常品,2024-12-16 00:19:55
アニタロケット,売り,リチウムバッテリー,767,-1,0.96,28,通常品,2024-12-16 00:19:55
アニタロケット,売り,クリスタルフラワー,2237,-1,1.12,14,特産品,2024-12-16 00:19:55
アニタロケット,売り,混構結晶のパキラ,5701,1,1.08,7,特産品,2024-12-16 00:19:55
アニタロケット,売り,電子部品,1057,1,0.93,21,通常品,2024-12-16 00:19:55
アニタロケット,売り,チタン合金,3074,-1,1.07,11,特産品,2024-12-16 00:19:55
アニタロケット,売り,液体酸素メタン燃料,408,1,0.49,21,通常品,2024-12-16 00:19:55
アニタロケット,売り,ニッケル高温合金,633,-1,0.45,13,通常品,2024-12-16 00:19:55
アニタロケット,売り,ハニカム構造断熱材料,1815,-1,0.49,8,特産品,2024-12-16 00:19:55
アニタロケット,売り,鉄鉱石,372,1,0.9,36,通常品,2024-12-16 00:19:55
アニタロケット,売り,鉄筋コンクリートまくらぎ,761,-1,1.06,36,通常品,2024-12-16 00:19:55
アニタロケット,売り,マンドツールセット,1169,-1,0.8,27,特産品,2024-12-16 00:19:55
アニタロケット,売り,黄銅,690,-1,0.92,30,通常品,2024-12-16 00:19:55
アニタロケット,売り,ゲーム機,3631,1,0.93,10,特産品,2024-12-16 00:19:55
アニタロケット,売り,モーフィックフィールド照準器,1271,1,1.1,18,通常品,2024-12-16 00:19:55
アニタロケット,売り,高透磁率ケイ素鋼板,911,1,0.96,29,通常品,2024-12-16 00:19:55
アニタロケット,売り,汚染防止用防護服,3854,1,1.24,11,特産品,2024-12-16 00:19:55
アニタロケット,売り,炭素繊維,1597,1,1.0,18,特産品,2024-12-16 00:19:55
アニタロケット,売り,黄銅線,791,1,1.0,47,通常品,2024-12-16 00:19:55
アニタロケット,買い,ロケットのおもちゃ,611,-1,1.09,55,通常品,2024-12-16 23:01:42
アニタロケット,買い,高熱伝導セラミックス,1647,-1,1.01,13,通常品,2024-12-16 23:01:42
アニタロケット,買い,液体酸素メタン燃料,891,-1,1.06,21,通常品,2024-12-16 23:01:42
アニタロケット,買い,ブラシナシ電機,704,1,0.95,34,通常品,2024-12-16 23:01:42
アニタロケット,買い,ニッケル高温合金,1535,-1,1.08,13,通常品,2024-12-16 23:01:42
アニタロケット,買い,ハニカム構造断熱材料,4040,-1,1.08,8,特産品,2024-12-16 23:01:42
アニタロケット,売り,漆黒鉱滓,894,1,1.11,37,通常品,2024-12-16 23:01:42
アニタロケット,売り,メノウ,2552,-1,1.07,17,特産品,2024-12-16 23:01:42
アニタロケット,売り,珪砂,319,-1,0.92,47,通常品,2024-12-16 23:01:42
アニタロケット,売り,アニタ202軍用ドローン,3701,-1,0.97,7,特産品,2024-12-16 23:01:42
アニタロケット,売り,不織布,535,-1,0.89,30,通常品,2024-12-16 23:01:42
アニタロケット,売り,ガソリン,728,-1,1.03,27,通常品,2024-12-16 23:01:42
アニタロケット,売り,銃弾,745,1,0.91,20,通常品,2024-12-16 23:01:42
アニタロケット,売り,プラスチック爆薬,1177,1,1.13,20,通常品,2024-12-16 23:01:42
アニタロケット,売り,ステンレス鋼,2064,1,1.15,17,特産品,2024-12-16 23:01:42
アニタロケット,売り,ブラシナシ電機,352,1,0.48,34,通常品,2024-12-16 23:01:42
アニタロケット,売り,弾丸加速装置,2095,-1,0.82,18,特産品,2024-12-16 23:01:42
アニタロケット,売り,列車モデル,403,1,1.05,40,通常品,2024-12-16 23:01:42
アニタロケット,売り,ロケットのおもちゃ,306,-1,0.55,55,通常品,2024-12-16 23:01:42
アニタロケット,売り,ワードチキン,534,-1,0.87,39,特産品,2024-12-16 23:01:42
アニタロケット,売り,自動車パーツ,957,1,1.08,24,通常品,2024-12-16 23:01:42
アニタロケット,売り,紅茶,1320,-1,1.27,30,特産品,2024-12-16 23:01:42
アニタロケット,売り,方鉛鉱,784,-1,0.98,29,通常品,2024-12-16 23:01:42
アニタロケット,売り,ジャガイモ,104,1,1.16,53,通常品,2024-12-16 23:01:42
アニタロケット,売り,砂金,3448,1,1.03,11,特産品,2024-12-16 23:01:42
アニタロケット,売り,骨材,46,1,1.19,72,通常品,2024-12-16 23:01:42
アニタロケット,売り,石材,246,1,1.05,45,通常品,2024-12-16 23:01:42
アニタロケット,売り,グラファイト,474,1,1.02,37,通常品,2024-12-16 23:01:42
アニタロケット,売り,建築材料,463,1,0.83,30,通常品,2024-12-16 23:01:42
アニタロケット,売り,トルコ石,1654,1,1.04,19,特産品,2024-12-16 23:01:42
アニタロケット,売り,青金石,2359,-1,0.89,13,特産品,2024-12-16 23:01:42
アニタロケット,売り,缶詰,126,1,0.98,45,通常品,2024-12-16 23:01:42
アニタロケット,売り,No.7 BEER,116,-1,0.89,56,通常品,2024-12-16 23:01:42
アニタロケット,売り,海塩,100,1,1.01,70,通常品,2024-12-16 23:01:42
アニタロケット,売り,ウシエビ,657,-1,0.84,35,特産品,2024-12-16 23:01:42
アニタロケット,売り,ナッツ,215,-1,0.93,42,通常品,2024-12-16 23:01:42
アニタロケット,売り,太陽電池,1144,-1,0.92,21,特産品,2024-12-16 23:01:42
アニタロケット,売り,ワード山泉,83,1,0.92,60,通常品,2024-12-16 23:01:42
アニタロケット,売り,ビデオテープ,567,1,0.99,30,通常品,2024-12-16 23:01:42
アニタロケット,売り,二次電池,294,1,0.98,42,通常品,2024-12-16 23:01:42
アニタロケット,売り,電子部品,1080,-1,0.95,21,通常品,2024-12-16 23:01:42
アニタロケット,売り,高熱伝導セラミックス,824,-1,0.51,13,通常品,2024-12-16 23:01:42
アニタロケット,売り,黄銅,713,-1,0.95,30,通常品,2024-12-16 23:01:42
アニタロケット,売り,ゲームカートリッジ,1031,1,1.09,30,特産品,2024-12-16 23:01:42
アニタロケット,売り,スピーカー,1358,1,1.15,20,特産品,2024-12-16 23:01:42
アニタロケット,売り,ライトスティック,559,1,1.12,35,通常品,2024-12-16 23:01:42
アニタロケット,売り,家電,1219,-1,1.0,21,通常品,2024-12-16 23:01:42
アニタロケット,売り,カセットテープ,287,-1,1.0,50,通常品,2024-12-16 23:01:42
アニタロケット,売り,自然銀,3249,1,1.13,10,特産品,2024-12-16 23:01:42
アニタロケット,売り,鉄道用特殊鋼,1422,1,0.99,24,通常品,2024-12-16 23:01:42
アニタロケット,売り,カーマイン・メイミリメシ,209,-1,0.92,47,通常品,2024-12-16 23:01:42
アニタロケット,売り,リチウムバッテリー,759,1,0.95,28,通常品,2024-12-16 23:01:42
アニタロケット,売り,クリスタルフラワー,1857,-1,0.93,14,特産品,2024-12-16 23:01:42
アニタロケット,売り,混構結晶のパキラ,6652,-1,1.26,7,特産品,2024-12-16 23:01:42
アニタロケット,売り,宇宙記念品,831,-1,0.99,28,通常品,2024-12-16 23:01:42
アニタロケット,売り,チタン合金,2787,-1,0.97,11,特産品,2024-12-16 23:01:42
アニタロケット,売り,液体酸素メタン燃料,446,-1,0.53,21,通常品,2024-12-16 23:01:42
アニタロケット,売り,ニッケル高温合金,768,-1,0.54,13,通常品,2024-12-16 23:01:42
アニタロケット,売り,ハニカム構造断熱材料,2020,-1,0.54,8,特産品,2024-12-16 23:01:42
アニタロケット,売り,鉄鉱石,335,-1,0.81,36,通常品,2024-12-16 23:01:42
アニタロケット,売り,鉄筋コンクリートまくらぎ,768,-1,1.07,36,通常品,2024-12-16 23:01:42
アニタロケット,売り,マンドツールセット,1300,1,0.89,27,特産品,2024-12-16 23:01:42
アニタロケット,売り,高級カトラリー,474,1,1.11,36,通常品,2024-12-16 23:01:42
アニタロケット,売り,ゲーム機,3826,-1,0.98,10,特産品,2024-12-16 23:01:42
アニタロケット,売り,モーフィックフィールド照準器,1155,-1,1.0,18,通常品,2024-12-16 23:01:42
アニタロケット,売り,高透磁率ケイ素鋼板,977,-1,1.03,29,通常品,2024-12-16 23:01:42
アニタロケット,売り,汚染防止用防護服,3450,1,1.11,11,特産品,2024-12-16 23:01:42
アニタロケット,売り,炭素繊維,1805,-1,1.13,18,特産品,2024-12-16 23:01:42
アニタロケット,売り,黄銅線,815,1,1.03,47,通常品,2024-12-16 23:01:42
アニタロケット,買い,ロケットのおもちゃ,595,-1,1.06,55,通常品,2024-12-16 23:14:54
アニタロケット,買い,高熱伝導セラミックス,1647,-1,1.01,13,通常品,2024-12-16 23:14:54
アニタロケット,買い,液体酸素メタン燃料,891,-1,1.06,21,通常品,2024-12-16 23:14:54
アニタロケット,買い,ブラシナシ電機,704,1,0.95,34,通常品,2024-12-16 23:14:54
アニタロケット,買い,ニッケル高温合金,1535,-1,1.08,13,通常品,2024-12-16 23:14:54
アニタロケット,買い,ハニカム構造断熱材料,4040,-1,1.08,8,特産品,2024-12-16 23:14:54
