都市名,売りor買い,商品名,値段,傾向,倍率,販売個数,特産品,更新時間
アニタロケット,買い,ロケットのおもちゃ,623,1,1.11,55,通常品,2024-12-15 19:54:55
アニタロケット,買い,高熱伝導セラミックス,1680,-1,1.03,13,通常品,2024-12-15 19:54:55
アニタロケット,買い,液体酸素メタン燃料,917,-1,1.09,21,通常品,2024-12-15 19:54:55
アニタロケット,買い,ブラシナシ電機,667,1,0.9,34,通常品,2024-12-15 19:54:55
アニタロケット,買い,ニッケル高温合金,1378,1,0.97,13,通常品,2024-12-15 19:54:55
アニタロケット,買い,ハニカム構造断熱材料,3741,1,1.0,8,特産品,2024-12-15 19:54:55
アニタロケット,売り,イルメナイト,2313,1,1.05,15,特産品,2024-12-15 19:54:55
アニタロケット,売り,棉花,1014,-1,0.8,23,特産品,2024-12-15 19:54:55
アニタロケット,売り,漆黒鉱滓,942,1,1.17,37,通常品,2024-12-15 19:54:55
アニタロケット,売り,メノウ,2266,-1,0.95,17,特産品,2024-12-15 19:54:55
アニタロケット,売り,純金コイル,7587,-1,0.89,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,珪砂,389,1,1.12,47,通常品,2024-12-15 19:54:55
アニタロケット,売り,キャビア,5077,1,1.11,6,特産品,2024-12-15 19:54:55
アニタロケット,売り,金箔,5162,1,1.19,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,火澄石,9013,1,1.16,2,特産品,2024-12-15 19:54:55
アニタロケット,売り,洗剤セット,201,1,1.06,54,通常品,2024-12-15 19:54:55
アニタロケット,売り,ブランデー,1020,-1,1.09,24,通常品,2024-12-15 19:54:55
アニタロケット,売り,アニタ202軍用ドローン,4006,1,1.05,7,特産品,2024-12-15 19:54:55
アニタロケット,売り,カセットテープ,255,-1,0.89,50,通常品,2024-12-15 19:54:55
アニタロケット,売り,花呢上衣,1951,1,0.85,10,特産品,2024-12-15 19:54:55
アニタロケット,売り,金制列车工艺品,9870,-1,1.14,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,纯棉T恤,571,1,1.08,35,通常品,2024-12-15 19:54:55
アニタロケット,売り,不織布,625,-1,1.04,30,通常品,2024-12-15 19:54:55
アニタロケット,売り,ガソリン,735,1,1.04,27,通常品,2024-12-15 19:54:55
アニタロケット,売り,銃弾,844,-1,1.03,20,通常品,2024-12-15 19:54:55
アニタロケット,売り,納豆,324,1,1.17,45,通常品,2024-12-15 19:54:55
アニタロケット,売り,砲弾,2069,1,1.0,15,通常品,2024-12-15 19:54:55
アニタロケット,売り,方便食品（军用）,126,1,1.08,72,特産品,2024-12-15 19:54:55
アニタロケット,売り,プラスチック爆薬,1250,1,1.2,20,通常品,2024-12-15 19:54:55
アニタロケット,売り,ステンレス鋼,1992,-1,1.11,17,特産品,2024-12-15 19:54:55
アニタロケット,売り,タチウオ,287,-1,0.92,48,通常品,2024-12-15 19:54:55
アニタロケット,売り,レゾナンスパワー爆弾,5352,1,1.18,4,特産品,2024-12-15 19:54:55
アニタロケット,売り,防弾ベスト,3766,1,1.05,10,特産品,2024-12-15 19:54:55
アニタロケット,売り,ブラシナシ電機,334,1,0.45,34,通常品,2024-12-15 19:54:55
アニタロケット,売り,修格里严选礼包,2664,1,1.12,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,エンジン,3712,-1,0.96,9,特産品,2024-12-15 19:54:55
アニタロケット,売り,鱼肝油,3560,1,1.08,8,特産品,2024-12-15 19:54:55
アニタロケット,売り,ロケットのおもちゃ,312,1,0.56,55,通常品,2024-12-15 19:54:55
アニタロケット,売り,海角水产礼盒,5436,1,1.2,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,西大陆甄选礼盒,7271,-1,0.91,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,水产甄选礼盒,7453,1,1.08,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,金枪鱼,2457,1,1.03,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,翻车魨,5718,-1,1.14,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,宇航服,13552,1,1.17,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,ワードチキン,614,1,1.0,39,特産品,2024-12-15 19:54:55
アニタロケット,売り,ロブスター,1300,1,1.0,24,特産品,2024-12-15 19:54:55
アニタロケット,売り,コハク,2651,-1,0.89,13,特産品,2024-12-15 19:54:55
アニタロケット,売り,自動車パーツ,771,-1,0.87,24,通常品,2024-12-15 19:54:55
アニタロケット,売り,紅茶,1340,-1,1.29,30,特産品,2024-12-15 19:54:55
アニタロケット,売り,方鉛鉱,936,1,1.17,29,通常品,2024-12-15 19:54:55
アニタロケット,売り,ジャガイモ,95,1,1.05,53,通常品,2024-12-15 19:54:55
アニタロケット,売り,砂金,2980,-1,0.89,11,特産品,2024-12-15 19:54:55
アニタロケット,売り,学会纪念品,2608,-1,1.06,12,特産品,2024-12-15 19:54:55
アニタロケット,売り,弾丸加速装置,2836,-1,1.11,18,特産品,2024-12-15 19:54:55
アニタロケット,売り,年货大礼包,3911,1,1.11,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,银制列车工艺品,4440,-1,0.99,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,花呢,1450,-1,0.8,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,纯棉布料,906,-1,0.98,21,通常品,2024-12-15 19:54:55
アニタロケット,売り,牛仔裤,571,-1,0.92,10,通常品,2024-12-15 19:54:55
アニタロケット,売り,蕾丝连衣裙,2944,-1,1.06,8,特産品,2024-12-15 19:54:55
アニタロケット,売り,蕾丝花边,1892,-1,0.92,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,灯芯绒休闲裤,1848,1,0.99,19,通常品,2024-12-15 19:54:55
アニタロケット,売り,冲锋衣,1176,1,0.9,29,通常品,2024-12-15 19:54:55
アニタロケット,売り,灯芯绒,1503,1,1.02,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,缝纫工具包,890,-1,0.92,32,特産品,2024-12-15 19:54:55
アニタロケット,売り,岚心锦服,6935,1,1.01,6,特産品,2024-12-15 19:54:55
アニタロケット,売り,黑毛牛排,4784,1,1.04,9,特産品,2024-12-15 19:54:55
アニタロケット,売り,水银,1296,1,1.13,20,通常品,2024-12-15 19:54:55
アニタロケット,売り,马鲛鱼,358,-1,1.03,40,通常品,2024-12-15 19:54:55
アニタロケット,売り,香薰蜡烛,1010,-1,0.95,24,特産品,2024-12-15 19:54:55
アニタロケット,売り,帝王蟹,1676,1,0.97,16,特産品,2024-12-15 19:54:55
アニタロケット,売り,扇贝,262,-1,1.0,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,雪金锦袍,6059,-1,0.96,7,特産品,2024-12-15 19:54:55
アニタロケット,売り,贻贝,184,1,1.09,48,通常品,2024-12-15 19:54:55
アニタロケット,売り,竹荚鱼,497,1,0.97,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,高級スキンケア商品,3227,-1,0.91,9,特産品,2024-12-15 19:54:55
アニタロケット,売り,骨材,41,-1,1.04,72,通常品,2024-12-15 19:54:55
アニタロケット,売り,石材,206,1,0.88,45,通常品,2024-12-15 19:54:55
アニタロケット,売り,グラファイト,391,-1,0.84,37,通常品,2024-12-15 19:54:55
アニタロケット,売り,建築材料,575,1,1.03,30,通常品,2024-12-15 19:54:55
アニタロケット,売り,トルコ石,1829,-1,1.15,19,特産品,2024-12-15 19:54:55
アニタロケット,売り,マラカイト,1756,-1,0.8,17,特産品,2024-12-15 19:54:55
アニタロケット,売り,青金石,3048,1,1.15,13,特産品,2024-12-15 19:54:55
アニタロケット,売り,水晶彫刻,923,1,1.03,21,通常品,2024-12-15 19:54:55
アニタロケット,売り,GPU,3637,-1,0.89,12,特産品,2024-12-15 19:54:55
アニタロケット,売り,太空棉,2273,1,1.01,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,雪纺,1405,1,1.13,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,绵羊,468,-1,1.01,40,通常品,2024-12-15 19:54:55
アニタロケット,売り,牛仔布,328,1,0.9,40,通常品,2024-12-15 19:54:55
アニタロケット,売り,绣线,407,-1,0.84,40,通常品,2024-12-15 19:54:55
アニタロケット,売り,尼龙布,700,1,0.94,36,通常品,2024-12-15 19:54:55
アニタロケット,売り,ワード山泉,80,1,1.06,56,通常品,2024-12-15 19:54:55
アニタロケット,売り,鸭,169,-1,1.1,52,通常品,2024-12-15 19:54:55
アニタロケット,売り,亚麻,1220,-1,1.04,28,特産品,2024-12-15 19:54:55
アニタロケット,売り,涤纶,247,1,0.99,44,通常品,2024-12-15 19:54:55
アニタロケット,売り,羊毛,1564,1,1.17,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,尼龙晴雨伞,754,-1,0.84,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,牛排,0,1,0.99,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,漫画书,0,-1,1.01,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,拼装模型,0,-1,1.01,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,医药品,0,1,0.99,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,宠物粮食,0,1,0.99,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,黑胶唱片,0,1,1.01,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,人参,0,1,0.99,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,岚心锦,4194,-1,0.8,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,高档家具,0,-1,1.03,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,保健品,0,1,1.01,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,No.7 BEER,143,-1,1.1,56,通常品,2024-12-15 19:54:55
アニタロケット,売り,海塩,103,-1,1.04,70,通常品,2024-12-15 19:54:55
アニタロケット,売り,ウシエビ,884,-1,1.13,35,特産品,2024-12-15 19:54:55
アニタロケット,売り,ナッツ,236,1,1.02,42,通常品,2024-12-15 19:54:55
アニタロケット,売り,アニタ101民用ドローン,1543,1,0.93,14,特産品,2024-12-15 19:54:55
アニタロケット,売り,太陽電池,1281,1,1.03,21,特産品,2024-12-15 19:54:55
アニタロケット,売り,ワード山泉,82,1,0.91,60,通常品,2024-12-15 19:54:55
アニタロケット,売り,グラフェンバッテリー,3582,-1,0.88,7,特産品,2024-12-15 19:54:55
アニタロケット,売り,アウトドア用品,363,-1,0.9,32,通常品,2024-12-15 19:54:55
アニタロケット,売り,ビデオテープ,665,-1,1.16,30,通常品,2024-12-15 19:54:55
アニタロケット,売り,二次電池,279,-1,0.93,42,通常品,2024-12-15 19:54:55
アニタロケット,売り,宇宙記念品,839,1,1.0,28,通常品,2024-12-15 19:54:55
アニタロケット,売り,アニタ小型発電機,8286,1,1.11,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,高熱伝導セラミックス,840,-1,0.52,13,通常品,2024-12-15 19:54:55
アニタロケット,売り,猪,433,-1,1.11,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,铁山大米,459,1,0.98,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,芳纶纤维,1407,-1,0.93,20,特産品,2024-12-15 19:54:55
アニタロケット,売り,山羊,607,-1,1.15,32,通常品,2024-12-15 19:54:55
アニタロケット,売り,真丝羽绒枕头,4241,1,1.2,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,羊绒衫,2710,1,0.96,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,棉花枕头,1089,-1,1.0,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,法兰绒靠垫,1874,1,0.85,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,鸡,128,-1,1.07,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,羊绒,2295,-1,0.84,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,铂金矿石,0,1,1.01,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,速食沙拉,0,-1,1.01,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,红宝石,0,-1,1.03,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,蓝宝石,0,-1,1.01,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,绿宝石,0,-1,0.99,1,通常品,2024-12-15 19:54:55
アニタロケット,売り,ゲームカートリッジ,880,-1,0.93,30,特産品,2024-12-15 19:54:55
アニタロケット,売り,スピーカー,1110,-1,0.94,20,特産品,2024-12-15 19:54:55
アニタロケット,売り,ライトスティック,444,-1,0.89,35,通常品,2024-12-15 19:54:55
アニタロケット,売り,家電,1304,-1,1.07,21,通常品,2024-12-15 19:54:55
アニタロケット,売り,羽绒服,2144,-1,0.82,17,特産品,2024-12-15 19:54:55
アニタロケット,売り,杯面,79,1,1.02,60,通常品,2024-12-15 19:54:55
アニタロケット,売り,自然銀,2990,1,1.04,10,特産品,2024-12-15 19:54:55
アニタロケット,売り,鉄道用特殊鋼,1321,-1,0.92,24,通常品,2024-12-15 19:54:55
アニタロケット,売り,黑松露,5718,-1,0.87,4,特産品,2024-12-15 19:54:55
アニタロケット,売り,携帯音楽プレーヤー,1564,-1,0.95,21,特産品,2024-12-15 19:54:55
アニタロケット,売り,松茸,3120,-1,0.95,11,特産品,2024-12-15 19:54:55
アニタロケット,売り,カーマイン・メイミリメシ,197,1,0.87,47,通常品,2024-12-15 19:54:55
アニタロケット,売り,高級カトラリー,418,-1,0.98,36,通常品,2024-12-15 19:54:55
アニタロケット,売り,列車モデル,396,-1,1.03,40,通常品,2024-12-15 19:54:55
アニタロケット,売り,アオリイカ,275,1,1.11,48,通常品,2024-12-15 19:54:55
アニタロケット,売り,キダチトウガラシ,98,-1,0.99,48,通常品,2024-12-15 19:54:55
アニタロケット,売り,高级女装,3781,1,0.88,1,特産品,2024-12-15 19:54:55
アニタロケット,売り,缶詰,130,1,1.01,45,通常品,2024-12-15 19:54:55
アニタロケット,売り,リチウムバッテリー,879,-1,1.1,28,通常品,2024-12-15 19:54:55
アニタロケット,売り,クリスタルフラワー,2277,1,1.14,14,特産品,2024-12-15 19:54:55
アニタロケット,売り,グラフェン,2762,1,1.08,7,特産品,2024-12-15 19:54:55
