都市名,売りor買い,商品名,値段,傾向,倍率,販売個数,特産品,更新時間
シュグリシティ,買い,缶詰,123,-1,1.17,45,通常品,2024-12-15 23:28:54
シュグリシティ,買い,紅茶,372,-1,0.54,30,特産品,2024-12-15 23:28:54
シュグリシティ,買い,高級カトラリー,390,-1,1.06,36,通常品,2024-12-15 23:28:54
シュグリシティ,買い,ワードチキン,253,-1,0.85,39,特産品,2024-12-15 23:28:54
シュグリシティ,買い,弾丸加速装置,1846,1,0.86,18,特産品,2024-12-15 23:28:54
シュグリシティ,買い,自動車パーツ,727,-1,1.01,24,通常品,2024-12-15 23:28:54
シュグリシティ,買い,ワード山泉,47,1,0.93,60,通常品,2024-12-15 23:28:54
シュグリシティ,買い,家電,1088,1,1.0,21,通常品,2024-12-15 23:28:54
シュグリシティ,売り,黄銅線,831,1,1.05,47,通常品,2024-12-15 23:28:54
シュグリシティ,売り,モーフィックフィールド照準器,1398,1,1.21,18,通常品,2024-12-15 23:28:54
シュグリシティ,売り,キダチトウガラシ,117,-1,1.0,48,通常品,2024-12-15 23:28:54
シュグリシティ,売り,宇宙半導体,8335,1,0.97,3,特産品,2024-12-15 23:28:54
シュグリシティ,売り,ウシエビ,938,1,1.2,35,特産品,2024-12-15 23:28:54
シュグリシティ,売り,アニタ101民用ドローン,1878,1,1.01,14,特産品,2024-12-15 23:28:54
シュグリシティ,売り,アニタ202軍用ドローン,3548,1,0.93,7,特産品,2024-12-15 23:28:54
シュグリシティ,売り,学会印刷書,900,1,0.92,32,特産品,2024-12-15 23:28:54
シュグリシティ,売り,アウトドア用品,354,-1,0.8,32,通常品,2024-12-15 23:28:54
シュグリシティ,売り,ハム,2758,1,1.19,12,特産品,2024-12-15 23:28:54
シュグリシティ,売り,家電,544,1,0.5,21,通常品,2024-12-15 23:28:54
シュグリシティ,売り,エンジン,1682,0,1.0,9,特産品,2024-12-15 23:28:54
シュグリシティ,売り,マラカイト,1764,-1,0.99,17,特産品,2024-12-15 23:28:54
シュグリシティ,売り,方鉛鉱,726,-1,1.01,29,通常品,2024-12-15 23:28:54
シュグリシティ,売り,電子部品,1364,1,1.2,21,通常品,2024-12-15 23:28:54
シュグリシティ,売り,GPU,2796,-1,0.82,12,特産品,2024-12-15 23:28:54
シュグリシティ,売り,ガソリン,605,-1,1.03,27,通常品,2024-12-15 23:28:54
シュグリシティ,売り,プラスチック爆薬,852,1,1.03,20,通常品,2024-12-15 23:28:54
シュグリシティ,売り,銃弾,697,1,1.03,20,通常品,2024-12-15 23:28:54
シュグリシティ,売り,漫画书,0,1,1.01,1,通常品,2024-12-15 23:28:54
シュグリシティ,売り,牛排,0,1,1.01,1,通常品,2024-12-15 23:28:54
シュグリシティ,売り,ブラシナシ電機,940,1,1.04,34,通常品,2024-12-15 23:28:54
