都市名,売りor買い,商品名,値段,傾向,倍率,販売個数,特産品,更新時間
シュグリシティ,買い,缶詰,99,1,0.94,45,通常品,2024-12-15 11:13:34
シュグリシティ,買い,紅茶,447,1,0.65,30,特産品,2024-12-15 11:13:34
シュグリシティ,買い,高級カトラリー,320,1,0.87,36,通常品,2024-12-15 11:13:34
シュグリシティ,買い,ワードチキン,271,1,0.91,39,特産品,2024-12-15 11:13:34
シュグリシティ,買い,弾丸加速装置,2104,1,0.98,18,特産品,2024-12-15 11:13:34
シュグリシティ,買い,自動車パーツ,792,1,1.1,24,通常品,2024-12-15 11:13:34
シュグリシティ,買い,ワード山泉,51,-1,1.02,60,通常品,2024-12-15 11:13:34
シュグリシティ,買い,家電,1142,1,1.05,21,通常品,2024-12-15 11:13:34
シュグリシティ,売り,黄銅線,759,1,0.96,47,通常品,2024-12-15 11:13:34
シュグリシティ,売り,モーフィックフィールド照準器,1190,-1,1.03,18,通常品,2024-12-15 11:13:34
シュグリシティ,売り,キダチトウガラシ,99,-1,0.85,48,通常品,2024-12-15 11:13:34
シュグリシティ,売り,宇宙半導体,7562,1,0.88,3,特産品,2024-12-15 11:13:34
シュグリシティ,売り,ウシエビ,633,-1,0.81,35,特産品,2024-12-15 11:13:34
シュグリシティ,売り,アニタ101民用ドローン,1673,1,0.9,14,特産品,2024-12-15 11:13:34
シュグリシティ,売り,アニタ202軍用ドローン,3853,1,1.01,7,特産品,2024-12-15 11:13:34
シュグリシティ,売り,学会印刷書,1076,1,1.1,32,特産品,2024-12-15 11:13:34
シュグリシティ,売り,アウトドア用品,403,1,0.91,32,通常品,2024-12-15 11:13:34
シュグリシティ,売り,ハム,2225,-1,0.96,12,特産品,2024-12-15 11:13:34
シュグリシティ,売り,家電,571,1,0.53,21,通常品,2024-12-15 11:13:34
シュグリシティ,売り,エンジン,1682,0,1.0,9,特産品,2024-12-15 11:13:34
シュグリシティ,売り,マラカイト,1925,-1,1.08,17,特産品,2024-12-15 11:13:34
シュグリシティ,売り,手工编织地毯,1575,-1,1.07,23,特産品,2024-12-15 11:13:34
シュグリシティ,売り,方鉛鉱,805,1,1.12,29,通常品,2024-12-15 11:13:34
シュグリシティ,売り,電子部品,1046,-1,0.92,21,通常品,2024-12-15 11:13:34
