都市名,売りor買い,商品名,値段,傾向,倍率,販売個数,特産品,更新時間
フリーポートNo.7,買い,電子部品,993,-1,0.97,21,通常品,2024-12-15 23:32:12
フリーポートNo.7,買い,クリスタルフラワー,2132,1,1.2,14,特産品,2024-12-15 23:32:12
フリーポートNo.7,買い,海塩,99,-1,1.13,70,通常品,2024-12-15 23:32:12
フリーポートNo.7,買い,混構結晶のパキラ,4741,1,0.97,7,特産品,2024-12-15 23:32:12
フリーポートNo.7,買い,宇宙記念品,754,1,0.97,28,通常品,2024-12-15 23:32:12
フリーポートNo.7,買い,No.7 BEER,122,-1,1.03,56,通常品,2024-12-15 23:32:12
フリーポートNo.7,買い,ウシエビ,635,1,1.08,35,特産品,2024-12-15 23:32:12
フリーポートNo.7,買い,ナッツ,242,-1,1.15,42,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,グラファイト,390,-1,0.86,37,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,リチウムバッテリー,806,1,0.98,28,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,高級カトラリー,385,-1,0.97,36,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,宇宙記念品,377,1,0.49,28,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,炭素繊維,1634,1,1.09,18,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,太陽電池,1169,1,0.94,21,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,No.7 BEER,61,-1,0.52,56,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,鉄鉱石,412,-1,1.05,36,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,汚染防止用防護服,2636,-1,0.88,11,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,海塩,50,-1,0.57,70,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,鉄筋コンクリートまくらぎ,618,-1,0.93,36,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,漆黒鉱滓,849,1,1.15,37,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,マンドツールセット,1285,1,1.0,27,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,モーフィックフィールド照準器,1191,-1,1.08,18,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,プラスチック爆薬,856,1,0.9,20,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,ロケットのおもちゃ,602,-1,0.94,55,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,電子部品,497,-1,0.49,21,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,チタン合金,2356,-1,0.85,11,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,混構結晶のパキラ,2371,1,0.49,7,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,ワードチキン,419,-1,0.9,39,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,黄銅,736,-1,1.06,30,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,カーマイン・メイミリメシ,182,-1,0.89,47,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,石材,235,1,1.09,45,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,ビデオテープ,510,-1,0.94,30,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,銃弾,841,1,1.11,20,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,ナッツ,121,-1,0.58,42,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,紅茶,1224,-1,1.4,30,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,自動車パーツ,651,-1,0.8,24,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,鉄道用特殊鋼,1328,1,1.0,24,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,列車モデル,380,-1,1.05,40,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,ゲーム機,3623,1,1.02,10,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,自然銀,2562,1,0.94,10,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,カセットテープ,257,1,0.95,50,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,アニタ202軍用ドローン,4118,1,1.11,7,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,液体酸素メタン燃料,745,-1,0.82,21,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,二次電池,293,-1,0.95,42,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,骨材,39,-1,1.07,72,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,トルコ石,1398,-1,0.94,19,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,ワード山泉,74,1,1.04,56,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,メノウ,1880,-1,0.85,17,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,不織布,579,-1,1.02,30,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,ゲームカートリッジ,829,1,1.04,30,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,ワード山泉,76,-1,1.08,60,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,ブラシナシ電機,938,1,1.11,34,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,ハニカム構造断熱材料,4148,-1,0.99,8,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,ニッケル高温合金,1604,1,0.99,13,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,ジャガイモ,95,-1,1.16,53,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,クリスタルフラワー,1066,1,0.6,14,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,高透磁率ケイ素鋼板,807,-1,0.89,29,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,黄銅線,816,-1,1.08,47,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,缶詰,128,-1,1.1,45,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,弾丸加速装置,2097,-1,0.88,18,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,珪砂,309,1,0.96,47,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,高熱伝導セラミックス,2101,1,1.13,13,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,方鉛鉱,850,-1,1.09,29,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,スピーカー,1226,1,1.13,20,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,ガソリン,604,-1,0.92,27,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,家電,1257,-1,1.09,21,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,青金石,2630,-1,1.07,13,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,ウシエビ,318,1,0.54,35,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,砂金,3441,1,1.08,11,特産品,2024-12-15 23:32:12
フリーポートNo.7,売り,ライトスティック,428,1,0.91,35,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,建築材料,538,1,1.03,30,通常品,2024-12-15 23:32:12
フリーポートNo.7,売り,ステンレス鋼,1525,-1,0.92,17,特産品,2024-12-15 23:32:12
フリーポートNo.7,買い,電子部品,993,-1,0.97,21,通常品,2024-12-16 00:26:52
フリーポートNo.7,買い,クリスタルフラワー,2061,-1,1.16,14,特産品,2024-12-16 00:26:52
フリーポートNo.7,買い,海塩,99,-1,1.13,70,通常品,2024-12-16 00:26:52
フリーポートNo.7,買い,混構結晶のパキラ,4986,1,1.02,7,特産品,2024-12-16 00:26:52
フリーポートNo.7,買い,宇宙記念品,777,1,1.0,28,通常品,2024-12-16 00:26:52
フリーポートNo.7,買い,No.7 BEER,119,-1,1.01,56,通常品,2024-12-16 00:26:52
フリーポートNo.7,買い,ウシエビ,653,1,1.11,35,特産品,2024-12-16 00:26:52
フリーポートNo.7,買い,ナッツ,235,-1,1.12,42,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,グラファイト,367,-1,0.81,37,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,リチウムバッテリー,806,1,0.98,28,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,高級カトラリー,373,-1,0.94,36,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,宇宙記念品,389,1,0.5,28,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,炭素繊維,1589,-1,1.06,18,特産品,2024-12-16 00:26:52
フリーポートNo.7,売り,太陽電池,1169,1,0.94,21,特産品,2024-12-16 00:26:52
フリーポートNo.7,売り,No.7 BEER,60,-1,0.51,56,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,鉄鉱石,400,-1,1.02,36,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,汚染防止用防護服,2636,-1,0.88,11,特産品,2024-12-16 00:26:52
フリーポートNo.7,売り,海塩,50,-1,0.57,70,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,鉄筋コンクリートまくらぎ,631,1,0.95,36,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,漆黒鉱滓,849,1,1.15,37,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,マンドツールセット,1324,1,1.03,27,特産品,2024-12-16 00:26:52
フリーポートNo.7,売り,モーフィックフィールド照準器,1191,-1,1.08,18,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,プラスチック爆薬,894,1,0.94,20,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,ロケットのおもちゃ,582,-1,0.91,55,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,電子部品,497,-1,0.49,21,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,ゲーム機,3765,1,1.06,10,特産品,2024-12-16 00:26:52
フリーポートNo.7,売り,チタン合金,2245,-1,0.81,11,特産品,2024-12-16 00:26:52
フリーポートNo.7,売り,混構結晶のパキラ,2493,1,0.51,7,特産品,2024-12-16 00:26:52
フリーポートNo.7,売り,ワードチキン,405,-1,0.87,39,特産品,2024-12-16 00:26:52
フリーポートNo.7,売り,黄銅,715,-1,1.03,30,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,カーマイン・メイミリメシ,175,-1,0.86,47,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,石材,231,-1,1.07,45,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,ビデオテープ,494,-1,0.91,30,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,銃弾,872,1,1.15,20,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,ナッツ,118,-1,0.56,42,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,紅茶,1180,-1,1.35,30,特産品,2024-12-16 00:26:52
フリーポートNo.7,売り,自動車パーツ,676,1,0.83,24,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,鉄道用特殊鋼,1355,1,1.02,24,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,列車モデル,369,-1,1.02,40,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,自然銀,2698,1,0.99,10,特産品,2024-12-16 00:26:52
フリーポートNo.7,売り,カセットテープ,266,1,0.98,50,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,缶詰,125,-1,1.08,45,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,アニタ202軍用ドローン,3970,-1,1.07,7,特産品,2024-12-16 00:26:52
フリーポートNo.7,売り,液体酸素メタン燃料,726,-1,0.8,21,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,二次電池,293,-1,0.95,42,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,骨材,38,-1,1.05,72,通常品,2024-12-16 00:26:52
フリーポートNo.7,売り,トルコ石,1338,-1,0.9,19,特産品,2024-12-16 00:26:52
