都市名,売りor買い,商品名,値段,傾向,倍率,販売個数,特産品,更新時間
フリーポートNo.7,買い,電子部品,942,1,0.92,21,通常品,2024-12-15 11:05:03
フリーポートNo.7,買い,クリスタルフラワー,1990,1,1.12,14,特産品,2024-12-15 11:05:03
フリーポートNo.7,買い,海塩,90,-1,1.02,70,通常品,2024-12-15 11:05:03
フリーポートNo.7,買い,混構結晶のパキラ,5621,1,1.15,7,特産品,2024-12-15 11:05:03
フリーポートNo.7,買い,宇宙記念品,886,1,1.14,28,通常品,2024-12-15 11:05:03
フリーポートNo.7,買い,No.7 BEER,109,1,0.92,56,通常品,2024-12-15 11:05:03
フリーポートNo.7,買い,ウシエビ,617,-1,1.05,35,特産品,2024-12-15 11:05:03
フリーポートNo.7,買い,ナッツ,185,-1,0.88,42,通常品,2024-12-15 11:05:03
フリーポートNo.7,売り,扇,1031,1,0.92,27,特産品,2024-12-15 11:05:03
フリーポートNo.7,売り,グラファイト,448,-1,0.99,37,通常品,2024-12-15 11:05:03
フリーポートNo.7,売り,洗剤セット,213,1,1.12,54,通常品,2024-12-15 11:05:03
フリーポートNo.7,売り,棉花,931,-1,0.85,23,特産品,2024-12-15 11:05:03
フリーポートNo.7,売り,リチウムバッテリー,962,-1,1.17,28,通常品,2024-12-15 11:05:03
フリーポートNo.7,売り,高級カトラリー,389,-1,0.98,36,通常品,2024-12-15 11:05:03
フリーポートNo.7,売り,学会印刷書,851,1,1.02,32,特産品,2024-12-15 11:05:03
フリーポートNo.7,売り,宇宙記念品,443,1,0.57,28,通常品,2024-12-15 11:05:03
フリーポートNo.7,売り,炭素繊維,1499,1,1.0,18,特産品,2024-12-15 11:05:03
フリーポートNo.7,売り,太陽電池,1182,1,0.95,21,特産品,2024-12-15 11:05:03
フリーポートNo.7,売り,No.7 BEER,55,1,0.46,56,通常品,2024-12-15 11:05:03
フリーポートNo.7,売り,鉄鉱石,314,-1,0.8,36,通常品,2024-12-15 11:05:03
フリーポートNo.7,売り,真珠,5152,1,1.12,8,特産品,2024-12-15 11:05:03
フリーポートNo.7,売り,汚染防止用防護服,3745,-1,1.25,11,特産品,2024-12-15 11:05:03
フリーポートNo.7,売り,コハク,2258,-1,0.8,13,特産品,2024-12-15 11:05:03
