都市名,売りor買い,商品名,値段,傾向,倍率,販売個数,特産品,更新時間
マンド鉱山,買い,マンドツールセット,818,1,0.93,27,特産品,2024-12-15 19:30:52
マンド鉱山,買い,石材,182,-1,1.01,45,通常品,2024-12-15 19:30:52
マンド鉱山,買い,骨材,32,-1,1.08,72,通常品,2024-12-15 19:30:52
マンド鉱山,買い,建築材料,419,1,0.93,30,通常品,2024-12-15 19:30:52
マンド鉱山,買い,鉄鉱石,392,-1,1.12,36,通常品,2024-12-15 19:30:52
マンド鉱山,買い,鉄筋コンクリートまくらぎ,562,1,1.04,36,通常品,2024-12-15 19:30:52
マンド鉱山,買い,鉄道用特殊鋼,1091,-1,1.01,24,通常品,2024-12-15 19:30:52
マンド鉱山,買い,黄銅,533,-1,0.86,30,通常品,2024-12-15 19:30:52
マンド鉱山,売り,トランク,608,1,1.03,32,通常品,2024-12-15 19:30:52
マンド鉱山,売り,火澄石,8354,1,1.08,2,特産品,2024-12-15 19:30:52
マンド鉱山,売り,炭素繊維,1579,1,0.98,18,特産品,2024-12-15 19:30:52
マンド鉱山,売り,扇,785,-1,0.87,27,特産品,2024-12-15 19:30:52
マンド鉱山,売り,棉花,1018,1,1.2,23,特産品,2024-12-15 19:30:52
マンド鉱山,売り,ハニカム構造断熱材料,4255,-1,0.94,8,特産品,2024-12-15 19:30:52
マンド鉱山,売り,ロブスター,1431,-1,0.98,24,特産品,2024-12-15 19:30:52
マンド鉱山,売り,宇宙半導体,10415,1,1.17,3,特産品,2024-12-15 19:30:52
マンド鉱山,売り,真丝羽绒枕头,2775,-1,0.91,1,特産品,2024-12-15 19:30:52
マンド鉱山,売り,蕾丝花边,2241,-1,1.03,1,特産品,2024-12-15 19:30:52
マンド鉱山,売り,蕾丝连衣裙,2820,1,0.96,8,特産品,2024-12-15 19:30:52
マンド鉱山,売り,花呢,1566,-1,0.95,1,特産品,2024-12-15 19:30:52
マンド鉱山,売り,银制列车工艺品,3401,-1,0.8,1,通常品,2024-12-15 19:30:52
マンド鉱山,売り,牛仔裤,535,-1,0.98,10,通常品,2024-12-15 19:30:52
マンド鉱山,売り,纯棉布料,893,1,1.05,21,通常品,2024-12-15 19:30:52
マンド鉱山,売り,GPU,1536,0,1.0,12,特産品,2024-12-15 19:30:52
マンド鉱山,売り,纯棉T恤,660,1,1.18,35,通常品,2024-12-15 19:30:52
マンド鉱山,売り,金制列车工艺品,9681,1,1.16,1,通常品,2024-12-15 19:30:52
マンド鉱山,売り,花呢上衣,2067,-1,0.99,10,特産品,2024-12-15 19:30:52
マンド鉱山,売り,紅茶,941,-1,1.19,30,特産品,2024-12-15 19:30:52
マンド鉱山,売り,亚麻,971,1,1.01,28,特産品,2024-12-15 19:30:52
マンド鉱山,売り,カセットテープ,309,-1,1.14,50,通常品,2024-12-15 19:30:52
マンド鉱山,売り,金箔,4937,-1,1.3,1,特産品,2024-12-15 19:30:52
マンド鉱山,売り,羽绒,537,1,0.97,1,特産品,2024-12-15 19:30:52
マンド鉱山,売り,防弾ベスト,2522,1,0.86,10,特産品,2024-12-15 19:30:52
マンド鉱山,売り,プラスチック爆薬,835,-1,0.98,20,通常品,2024-12-15 19:30:52
マンド鉱山,売り,銃弾,641,-1,0.92,20,通常品,2024-12-15 19:30:52
マンド鉱山,売り,砲弾,1849,-1,1.05,15,通常品,2024-12-15 19:30:52
マンド鉱山,売り,ステンレス鋼,1467,1,1.01,17,特産品,2024-12-15 19:30:52
マンド鉱山,売り,ガソリン,605,-1,1.03,27,通常品,2024-12-15 19:30:52
マンド鉱山,売り,太陽光発電アレイ,5431,-1,0.87,5,特産品,2024-12-15 19:30:52
マンド鉱山,売り,ライトスティック,442,-1,0.94,35,通常品,2024-12-15 19:30:52
マンド鉱山,売り,グラフェン,3092,1,1.1,7,特産品,2024-12-15 19:30:52
マンド鉱山,売り,汚染防止用防護服,3445,-1,1.07,11,特産品,2024-12-15 19:30:52
マンド鉱山,売り,チタン合金,2985,-1,1.03,11,特産品,2024-12-15 19:30:52
マンド鉱山,売り,スピーカー,966,-1,0.89,20,特産品,2024-12-15 19:30:52
マンド鉱山,売り,涤纶,237,1,1.08,44,通常品,2024-12-15 19:30:52
マンド鉱山,売り,列車モデル,398,1,1.1,40,通常品,2024-12-15 19:30:52
マンド鉱山,売り,修格里严选礼包,2285,1,1.09,1,特産品,2024-12-15 19:30:52
マンド鉱山,売り,納豆,204,-1,1.04,45,通常品,2024-12-15 19:30:52
マンド鉱山,売り,Latona香水,1342,-1,0.94,18,特産品,2024-12-15 19:30:52
マンド鉱山,売り,マラカイト,1942,1,1.09,17,特産品,2024-12-15 19:30:52
マンド鉱山,売り,法兰绒,1323,1,0.86,20,特産品,2024-12-15 19:30:52
マンド鉱山,売り,羊毛布料,1154,-1,0.83,1,通常品,2024-12-15 19:30:52
マンド鉱山,売り,エンジン,3993,1,1.12,9,特産品,2024-12-15 19:30:52
マンド鉱山,売り,猪,255,1,0.88,1,通常品,2024-12-15 19:30:52
マンド鉱山,売り,铁山大米,300,-1,1.1,1,特産品,2024-12-15 19:30:52
マンド鉱山,売り,鸡,93,1,1.05,1,通常品,2024-12-15 19:30:52
マンド鉱山,売り,羊绒,2148,1,0.96,1,特産品,2024-12-15 19:30:52
マンド鉱山,売り,锦缎,3063,-1,0.97,1,特産品,2024-12-15 19:30:52
マンド鉱山,売り,织锦缎,4792,1,1.1,1,特産品,2024-12-15 19:30:52
マンド鉱山,売り,法兰绒睡衣,1642,-1,0.83,1,通常品,2024-12-15 19:30:52
マンド鉱山,売り,太空棉,2805,1,1.03,1,通常品,2024-12-15 19:30:52
マンド鉱山,売り,马鲛鱼,454,1,1.16,40,通常品,2024-12-15 19:30:52
マンド鉱山,売り,鉄鉱石,196,-1,0.56,36,通常品,2024-12-15 19:30:52
マンド鉱山,売り,キャビア,4580,-1,1.04,6,特産品,2024-12-15 19:30:52
マンド鉱山,売り,ワード山泉,62,1,1.03,60,通常品,2024-12-15 19:30:52
マンド鉱山,売り,東洋風の刃物,1831,1,0.85,18,特産品,2024-12-15 19:30:52
マンド鉱山,売り,鉄道用特殊鋼,546,-1,0.51,24,通常品,2024-12-15 19:30:52
マンド鉱山,売り,雪金锦袍,4955,1,0.91,7,特産品,2024-12-15 19:30:52
マンド鉱山,売り,カーマイン・メイミリメシ,177,-1,1.0,47,通常品,2024-12-15 19:30:52
マンド鉱山,売り,扇贝,197,1,1.01,1,通常品,2024-12-15 19:30:52
マンド鉱山,売り,アニタ小型発電機,8900,1,1.11,1,特産品,2024-12-15 19:30:52
マンド鉱山,売り,芳纶纤维,1581,-1,0.99,20,特産品,2024-12-15 19:30:52
マンド鉱山,売り,真珠,4330,1,0.88,8,特産品,2024-12-15 19:30:52
マンド鉱山,売り,羊毛,947,-1,0.87,1,通常品,2024-12-15 19:30:52
マンド鉱山,売り,尼龙晴雨伞,721,-1,0.98,1,通常品,2024-12-15 19:30:52
マンド鉱山,売り,弾丸加速装置,2136,-1,0.93,18,特産品,2024-12-15 19:30:52
マンド鉱山,売り,鸭,117,1,1.02,52,通常品,2024-12-15 19:30:52
マンド鉱山,売り,羊绒衫,2631,1,1.06,1,特産品,2024-12-15 19:30:52
マンド鉱山,売り,高級スキンケア商品,3907,1,1.14,9,特産品,2024-12-15 19:30:52
マンド鉱山,売り,法兰绒靠垫,1849,1,0.99,1,通常品,2024-12-15 19:30:52
マンド鉱山,売り,棉花枕头,1049,-1,1.1,1,通常品,2024-12-15 19:30:52
マンド鉱山,売り,年货大礼包,3431,-1,1.08,1,特産品,2024-12-15 19:30:52
マンド鉱山,売り,速食沙拉,0,-1,0.99,1,通常品,2024-12-15 19:30:52
マンド鉱山,売り,铂金矿石,0,1,1.03,1,通常品,2024-12-15 19:30:52
マンド鉱山,売り,蓝宝石,0,-1,1.01,1,通常品,2024-12-15 19:30:52
マンド鉱山,売り,红宝石,0,1,0.99,1,通常品,2024-12-15 19:30:52
マンド鉱山,売り,绿宝石,0,-1,1.01,1,通常品,2024-12-15 19:30:52
マンド鉱山,売り,高熱伝導セラミックス,2050,-1,0.99,13,通常品,2024-12-15 19:30:52
マンド鉱山,売り,家電,1155,1,1.03,21,通常品,2024-12-15 19:30:52
マンド鉱山,売り,アオリイカ,274,-1,0.98,48,通常品,2024-12-15 19:30:52
マンド鉱山,売り,西大陆甄选礼盒,7271,1,0.93,1,特産品,2024-12-15 19:30:52
マンド鉱山,売り,鉄筋コンクリートまくらぎ,281,1,0.52,36,通常品,2024-12-15 19:30:52
