都市名,売りor買い,商品名,値段,傾向,倍率,販売個数,特産品,更新時間
ワンダーランド,買い,青金石,2093,-1,1.09,13,特産品,2024-12-17 01:17:36
ワンダーランド,買い,砂金,2943,-1,1.09,11,特産品,2024-12-17 01:17:36
ワンダーランド,買い,漆黒鉱滓,527,-1,0.95,37,通常品,2024-12-17 01:17:36
ワンダーランド,買い,メノウ,1676,-1,0.97,17,特産品,2024-12-17 01:17:36
ワンダーランド,買い,鉄鉱石,289,-1,0.8,36,通常品,2024-12-17 01:17:36
ワンダーランド,買い,珪砂,226,1,0.97,47,通常品,2024-12-17 01:17:36
ワンダーランド,売り,チタン合金,3059,-1,1.02,11,特産品,2024-12-17 01:17:36
ワンダーランド,売り,ニッケル高温合金,2011,-1,1.08,13,通常品,2024-12-17 01:17:36
ワンダーランド,売り,ハニカム構造断熱材料,4894,-1,1.03,8,特産品,2024-12-17 01:17:36
ワンダーランド,売り,液体酸素メタン燃料,1098,1,1.02,21,通常品,2024-12-17 01:17:36
ワンダーランド,売り,アニタ202軍用ドローン,3663,-1,0.91,7,特産品,2024-12-17 01:17:36
ワンダーランド,売り,海塩,119,1,1.04,70,通常品,2024-12-17 01:17:36
ワンダーランド,売り,カセットテープ,237,-1,0.85,50,通常品,2024-12-17 01:17:36
ワンダーランド,売り,ブラシナシ電機,1162,-1,1.17,34,通常品,2024-12-17 01:17:36
ワンダーランド,売り,ステンレス鋼,1716,1,1.08,17,特産品,2024-12-17 01:17:36
ワンダーランド,売り,銃弾,872,-1,1.15,20,通常品,2024-12-17 01:17:36
ワンダーランド,売り,自然銀,3332,1,1.19,10,特産品,2024-12-17 01:17:36
ワンダーランド,売り,黄銅線,731,1,0.87,47,通常品,2024-12-17 01:17:36
ワンダーランド,売り,炭素繊維,1717,1,1.03,18,特産品,2024-12-17 01:17:36
ワンダーランド,売り,高透磁率ケイ素鋼板,961,1,0.93,29,通常品,2024-12-17 01:17:36
ワンダーランド,売り,ライトスティック,540,1,1.13,35,通常品,2024-12-17 01:17:36
ワンダーランド,売り,リチウムバッテリー,1058,-1,1.12,28,通常品,2024-12-17 01:17:36
ワンダーランド,売り,プラスチック爆薬,924,1,0.98,20,通常品,2024-12-17 01:17:36
ワンダーランド,売り,ジャガイモ,67,1,0.94,53,通常品,2024-12-17 01:17:36
ワンダーランド,売り,ガソリン,644,1,1.01,27,通常品,2024-12-17 01:17:36
ワンダーランド,売り,グラファイト,440,-1,1.05,37,通常品,2024-12-17 01:17:36
ワンダーランド,売り,ワード山泉,83,1,1.18,60,通常品,2024-12-17 01:17:36
ワンダーランド,売り,鉄筋コンクリートまくらぎ,577,1,0.99,36,通常品,2024-12-17 01:17:36
ワンダーランド,売り,混構結晶のパキラ,6950,1,1.2,7,特産品,2024-12-17 01:17:36
ワンダーランド,売り,モーフィックフィールド照準器,1370,1,1.06,18,通常品,2024-12-17 01:17:36
ワンダーランド,売り,汚染防止用防護服,3450,1,1.01,11,特産品,2024-12-17 01:17:36
ワンダーランド,売り,二次電池,340,-1,0.96,42,通常品,2024-12-17 01:17:36
ワンダーランド,売り,ウシエビ,900,1,0.86,35,特産品,2024-12-17 01:17:36
ワンダーランド,売り,方鉛鉱,628,-1,0.85,29,通常品,2024-12-17 01:17:36
ワンダーランド,売り,紅茶,1127,-1,1.29,30,特産品,2024-12-17 01:17:36
ワンダーランド,売り,メノウ,838,-1,0.49,17,特産品,2024-12-17 01:17:36
ワンダーランド,売り,自動車パーツ,840,1,1.06,24,通常品,2024-12-17 01:17:36
