都市名,売りor買い,商品名,値段,傾向,倍率,販売個数,特産品,更新時間
ワンダーランド,買い,青金石,2074,1,1.08,13,特産品,2024-12-15 12:46:30
ワンダーランド,買い,砂金,2808,-1,1.04,11,特産品,2024-12-15 12:46:30
ワンダーランド,買い,漆黒鉱滓,450,1,0.81,37,通常品,2024-12-15 12:46:30
ワンダーランド,買い,メノウ,1624,1,0.94,17,特産品,2024-12-15 12:46:30
ワンダーランド,買い,鉄鉱石,365,1,1.01,36,通常品,2024-12-15 12:46:30
ワンダーランド,買い,珪砂,256,-1,1.1,47,通常品,2024-12-15 12:46:30
ワンダーランド,売り,チタン合金,3059,1,1.02,11,特産品,2024-12-15 12:46:30
ワンダーランド,売り,ニッケル高温合金,1639,1,0.88,13,通常品,2024-12-15 12:46:30
ワンダーランド,売り,贻贝,204,1,1.08,48,通常品,2024-12-15 12:46:30
ワンダーランド,売り,ハニカム構造断熱材料,4513,1,0.95,8,特産品,2024-12-15 12:46:30
ワンダーランド,売り,棉花,803,-1,0.85,23,特産品,2024-12-15 12:46:30
ワンダーランド,売り,火澄石,8932,1,1.1,2,特産品,2024-12-15 12:46:30
ワンダーランド,売り,液体酸素メタン燃料,968,-1,0.9,21,通常品,2024-12-15 12:46:30
ワンダーランド,売り,雪金锦袍,5337,1,0.95,7,特産品,2024-12-15 12:46:30
ワンダーランド,売り,アニタ202軍用ドローン,4428,-1,1.1,7,特産品,2024-12-15 12:46:30
ワンダーランド,売り,アオリイカ,291,-1,1.04,48,通常品,2024-12-15 12:46:30
ワンダーランド,売り,岚心锦服,5840,1,0.95,6,特産品,2024-12-15 12:46:30
ワンダーランド,売り,海塩,112,-1,0.98,70,通常品,2024-12-15 12:46:30
ワンダーランド,売り,カセットテープ,290,1,1.04,50,通常品,2024-12-15 12:46:30
ワンダーランド,売り,竹荚鱼,464,-1,1.14,1,通常品,2024-12-15 12:46:30
ワンダーランド,売り,金箔酒,3138,1,1.14,15,特産品,2024-12-15 12:46:30
ワンダーランド,売り,ブラシナシ電機,973,-1,0.98,34,通常品,2024-12-15 12:46:30
ワンダーランド,売り,納豆,227,1,1.07,45,通常品,2024-12-15 12:46:30
ワンダーランド,売り,杯面,70,-1,1.1,60,通常品,2024-12-15 12:46:30
ワンダーランド,売り,ステンレス鋼,1653,-1,1.04,17,特産品,2024-12-15 12:46:30
ワンダーランド,売り,香薰蜡烛,1116,-1,0.95,24,特産品,2024-12-15 12:46:30
ワンダーランド,売り,帝王蟹,2050,1,1.04,16,特産品,2024-12-15 12:46:30
ワンダーランド,売り,銃弾,758,1,1.0,20,通常品,2024-12-15 12:46:30
ワンダーランド,売り,阿妮塔连体衣,3926,1,1.04,1,特産品,2024-12-15 12:46:30
ワンダーランド,売り,自然銀,3080,1,1.1,10,特産品,2024-12-15 12:46:30
ワンダーランド,売り,化粧品,730,1,0.97,24,通常品,2024-12-15 12:46:30
ワンダーランド,売り,グラフェンバッテリー,4088,1,0.88,7,特産品,2024-12-15 12:46:30
ワンダーランド,売り,黄銅線,798,1,0.95,47,通常品,2024-12-15 12:46:30
ワンダーランド,売り,手工编织地毯,1582,1,1.04,23,特産品,2024-12-15 12:46:30
