都市名,売りor買い,商品名,値段,傾向,倍率,販売個数,特産品,更新時間
荒地駅,買い,方鉛鉱,725,-1,1.07,29,通常品,2024-12-17 01:53:05
荒地駅,買い,トルコ石,1052,1,0.92,19,特産品,2024-12-17 01:53:05
荒地駅,買い,ジャガイモ,49,-1,0.81,53,通常品,2024-12-17 01:53:05
荒地駅,買い,グラファイト,357,-1,0.93,37,通常品,2024-12-17 01:53:05
荒地駅,売り,真丝羽绒枕头,2893,1,0.98,1,特産品,2024-12-17 01:53:05
荒地駅,売り,棉花,375,0,1.0,23,特産品,2024-12-17 01:53:05
荒地駅,売り,鉄道用特殊鋼,1096,-1,0.94,24,通常品,2024-12-17 01:53:05
荒地駅,売り,缶詰,113,-1,1.03,45,通常品,2024-12-17 01:53:05
荒地駅,売り,グラファイト,179,-1,0.47,37,通常品,2024-12-17 01:53:05
荒地駅,売り,学会印刷書,909,-1,0.81,32,特産品,2024-12-17 01:53:05
荒地駅,売り,亚麻,955,-1,1.04,28,特産品,2024-12-17 01:53:05
荒地駅,売り,鸭,87,-1,0.81,52,通常品,2024-12-17 01:53:05
荒地駅,売り,绵羊,266,1,0.83,40,通常品,2024-12-17 01:53:05
荒地駅,売り,涤纶,222,1,1.04,44,通常品,2024-12-17 01:53:05
荒地駅,売り,绣线,421,-1,1.02,40,通常品,2024-12-17 01:53:05
荒地駅,売り,牛仔布,282,-1,0.91,40,通常品,2024-12-17 01:53:05
荒地駅,売り,缝纫工具包,878,1,1.16,32,特産品,2024-12-17 01:53:05
荒地駅,売り,建築材料,439,-1,0.91,30,通常品,2024-12-17 01:53:05
荒地駅,売り,トルコ石,526,1,0.46,19,特産品,2024-12-17 01:53:05
荒地駅,売り,高級スキンケア商品,3901,-1,1.1,9,特産品,2024-12-17 01:53:05
荒地駅,売り,ワード山泉,68,1,1.07,56,通常品,2024-12-17 01:53:05
荒地駅,売り,尼龙晴雨伞,682,-1,0.97,1,通常品,2024-12-17 01:53:05
荒地駅,売り,No.7 BEER,142,-1,1.0,56,通常品,2024-12-17 01:53:05
荒地駅,売り,鉄鉱石,368,1,1.02,36,通常品,2024-12-17 01:53:05
荒地駅,売り,弾丸加速装置,2044,-1,0.89,18,特産品,2024-12-17 01:53:05
荒地駅,売り,阿妮塔连体衣,3712,-1,0.96,1,特産品,2024-12-17 01:53:05
荒地駅,売り,鸡,90,-1,1.08,1,通常品,2024-12-17 01:53:05
荒地駅,売り,骨材,32,-1,1.01,72,通常品,2024-12-17 01:53:05
荒地駅,売り,自動車パーツ,770,-1,0.99,24,通常品,2024-12-17 01:53:05
荒地駅,売り,棉花枕头,964,1,1.04,1,通常品,2024-12-17 01:53:05
荒地駅,売り,婦人服,1490,1,0.92,15,通常品,2024-12-17 01:53:05
荒地駅,売り,Latona香水,1484,-1,0.99,18,特産品,2024-12-17 01:53:05
荒地駅,売り,方便食品（军用）,99,1,0.85,72,特産品,2024-12-17 01:53:05
荒地駅,売り,芳纶纤维,1558,-1,0.94,20,特産品,2024-12-17 01:53:05
荒地駅,売り,羊绒衫,2655,-1,1.1,1,特産品,2024-12-17 01:53:05
荒地駅,売り,猪,248,1,0.92,1,通常品,2024-12-17 01:53:05
荒地駅,売り,山羊,649,-1,1.04,32,通常品,2024-12-17 01:53:05
荒地駅,売り,高熱伝導セラミックス,2216,1,1.07,13,通常品,2024-12-17 01:53:05
荒地駅,売り,ガソリン,470,-1,0.8,27,通常品,2024-12-17 01:53:05
荒地駅,売り,高级女装,4077,1,1.11,1,特産品,2024-12-17 01:53:05
荒地駅,売り,アニタ小型発電機,8499,1,1.06,1,特産品,2024-12-17 01:53:05
荒地駅,売り,石材,176,1,0.93,45,通常品,2024-12-17 01:53:05
荒地駅,売り,ライトスティック,426,1,0.93,35,通常品,2024-12-17 01:53:05
荒地駅,売り,グラフェンバッテリー,4984,-1,1.1,7,特産品,2024-12-17 01:53:05
荒地駅,売り,真丝睡衣,3031,-1,1.07,1,特産品,2024-12-17 01:53:05
荒地駅,売り,水晶彫刻,824,1,0.92,21,通常品,2024-12-17 01:53:05
荒地駅,売り,トランク,639,-1,1.04,32,通常品,2024-12-17 01:53:05
荒地駅,売り,防弾ベスト,3137,-1,1.07,10,特産品,2024-12-17 01:53:05
荒地駅,売り,ステンレス鋼,1538,1,1.09,17,特産品,2024-12-17 01:53:05
荒地駅,売り,砲弾,1691,1,0.96,15,通常品,2024-12-17 01:53:05
荒地駅,売り,モーフィックフィールド照準器,1276,1,1.03,18,通常品,2024-12-17 01:53:05
荒地駅,売り,高透磁率ケイ素鋼板,1130,1,1.17,29,通常品,2024-12-17 01:53:05
荒地駅,売り,汚染防止用防護服,3601,1,1.09,11,特産品,2024-12-17 01:53:05
荒地駅,売り,炭素繊維,1692,1,1.05,18,特産品,2024-12-17 01:53:05
荒地駅,売り,黄銅線,837,1,1.04,47,通常品,2024-12-17 01:53:05
荒地駅,売り,レゾナンスパワー爆弾,5198,-1,1.12,4,特産品,2024-12-17 01:53:05
荒地駅,売り,銃弾,718,-1,1.03,20,通常品,2024-12-17 01:53:05
荒地駅,売り,プラスチック爆薬,878,-1,1.03,20,通常品,2024-12-17 01:53:05
荒地駅,売り,マンドツールセット,1034,1,1.04,27,特産品,2024-12-17 01:53:05
荒地駅,売り,画材,522,1,0.89,36,通常品,2024-12-17 01:53:05
荒地駅,売り,水产甄选礼盒,8282,-1,1.12,1,特産品,2024-12-17 01:53:05
荒地駅,売り,尼龙布,586,1,0.92,36,通常品,2024-12-17 01:53:05
荒地駅,売り,海角水产礼盒,5835,1,1.15,1,特産品,2024-12-17 01:53:05
荒地駅,売り,キダチトウガラシ,140,-1,1.12,48,通常品,2024-12-17 01:53:05
荒地駅,売り,化粧品,795,1,1.0,24,通常品,2024-12-17 01:53:05
荒地駅,売り,スピーカー,1161,1,1.07,20,特産品,2024-12-17 01:53:05
荒地駅,売り,火澄石,7039,-1,0.91,2,特産品,2024-12-17 01:53:05
荒地駅,売り,アニタ202軍用ドローン,4116,-1,1.05,7,特産品,2024-12-17 01:53:05
