都市名,売りor買い,商品名,値段,傾向,倍率,販売個数,特産品,更新時間
荒地駅,買い,方鉛鉱,651,1,0.96,29,通常品,2024-12-15 12:49:09
荒地駅,買い,トルコ石,1155,1,1.01,19,特産品,2024-12-15 12:49:09
荒地駅,買い,ジャガイモ,56,-1,0.91,53,通常品,2024-12-15 12:49:09
荒地駅,買い,グラファイト,384,1,1.0,37,通常品,2024-12-15 12:49:09
荒地駅,売り,真丝羽绒枕头,3424,-1,1.16,1,特産品,2024-12-15 12:49:09
荒地駅,売り,棉花,375,0,1.0,23,特産品,2024-12-15 12:49:09
荒地駅,売り,鉄道用特殊鋼,1236,1,1.06,24,通常品,2024-12-15 12:49:09
荒地駅,売り,缶詰,118,-1,1.07,45,通常品,2024-12-15 12:49:09
荒地駅,売り,グラファイト,192,1,0.5,37,通常品,2024-12-15 12:49:09
荒地駅,売り,学会印刷書,976,-1,0.87,32,特産品,2024-12-15 12:49:09
荒地駅,売り,亚麻,826,-1,0.9,28,特産品,2024-12-15 12:49:09
荒地駅,売り,鸭,100,1,0.93,52,通常品,2024-12-15 12:49:09
荒地駅,売り,绵羊,343,1,1.07,40,通常品,2024-12-15 12:49:09
荒地駅,売り,涤纶,192,1,0.9,44,通常品,2024-12-15 12:49:09
荒地駅,売り,绣线,380,1,0.92,40,通常品,2024-12-15 12:49:09
荒地駅,売り,牛仔布,257,1,0.83,40,通常品,2024-12-15 12:49:09
荒地駅,売り,缝纫工具包,681,1,0.9,32,特産品,2024-12-15 12:49:09
荒地駅,売り,建築材料,516,1,1.07,30,通常品,2024-12-15 12:49:09
荒地駅,売り,トルコ石,578,1,0.51,19,特産品,2024-12-15 12:49:09
荒地駅,売り,高級スキンケア,3688,-1,1.04,9,特産品,2024-12-15 12:49:09
荒地駅,売り,ワード山泉,67,-1,1.05,56,通常品,2024-12-15 12:49:09
荒地駅,売り,尼龙晴雨伞,724,1,1.03,1,通常品,2024-12-15 12:49:09
荒地駅,売り,No.7 BEER,162,-1,1.14,56,通常品,2024-12-15 12:49:09
荒地駅,売り,鉄鉱石,325,-1,0.9,36,通常品,2024-12-15 12:49:09
荒地駅,売り,弾丸加速装置,2756,1,1.2,18,特産品,2024-12-15 12:49:09
荒地駅,売り,阿妮塔连体衣,3712,-1,0.96,1,特産品,2024-12-15 12:49:09
荒地駅,売り,鸡,85,1,1.02,1,通常品,2024-12-15 12:49:09
荒地駅,売り,骨材,36,1,1.11,72,通常品,2024-12-15 12:49:09
荒地駅,売り,自動車パーツ,786,1,1.01,24,通常品,2024-12-15 12:49:09
荒地駅,売り,棉花枕头,890,-1,0.96,1,通常品,2024-12-15 12:49:09
